Time,Slip Ratio
1,-0.054347796
2,0.054577405
3,0.090787774
4,0.117728343
5,0.193505459
6,0.256082799
7,0.312618552
8,0.316899566
9,0.322579057
10,0.327581957
11,0.3253459
12,0.351471842
13,0.359845417
14,0.367425372
15,0.378530273
16,0.390425977
17,0.399863415
18,0.410394289
19,0.425357362
20,0.432470354
21,0.443605918
22,0.458232082
23,0.46562727
24,0.48569855
25,0.493726158
26,0.498554004
27,0.518521139
28,0.528073947
29,0.536530302
30,0.54659151
31,0.558502174
32,0.565998815
33,0.581726862
34,0.589493753
35,0.607011002
36,0.610106486
37,0.630240006
38,0.635560274
39,0.651649764
40,0.660030208
41,0.673568235
42,0.676444692
43,0.68901498
44,0.705805703
45,0.712920163
46,0.722823354
47,0.731736346
48,0.750493343
49,0.763349278
50,0.766572277
51,0.77677506
52,0.795250997
53,0.807187347
54,0.815867766
55,0.824697947
56,0.838402109
57,0.851867388
58,0.861681333
59,0.874056271
60,0.878814043
Slip ratio,
